
id,content_name,is_ott,분류코드,개봉일,감독_및_PD,시청자수,platform,episode_total,episode_length,cast,origin_country,lang,rating,synopsis,poster_url,ott_availability,awards,tags
649,Midnight SpecialÂ,N,DRAMA_SF_PARALLEL,2016-12-10,Jeff Nichols,48956,영화관,1,112,"Kirsten Dunst, Sam Shepard",Greece,English,15세,cult father son relationship gas station,NA,NA,NA,"Adventure, Drama, Sci-Fi"
650,Foodfight!Â,N,MOVIE_DOC_GEN,2012-09-10,Lawrence Kasanoff,42260,Theater,1,91,"Jerry Stiller, Larry Miller",USA,English,12세,femme fatale food pun,NA,NA,NA,"Action, Animation, Comedy"
651,Son of GodÂ,N,MOVIE_COM_STANDUP,2014-11-12,Christopher Spencer,79812,Theater,1,170,"Roma Downey, Amber Rose Revah",USA,English,15세,bare chested male bondage crucifixion loincloth,NA,NA,NA,"Biography, Drama, History"
652,John CarterÂ,N,KDRAMA_059,2012-11-08,Andrew Stanton,349653,Theater,1,132,"Daryl Sabara, Samantha Morton",USA,English,15세,alien american civil war male nipple,NA,NA,NA,"Action, Adventure, Sci-Fi"
653,The Lone RangerÂ,N,KVARIETY_032,2013-02-18,Gore Verbinski,346092,Theater,1,150,"Johnny Depp, Ruth Wilson",USA,English,15세,horse outlaw texas,NA,NA,NA,"Action, Adventure, Western"
654,BurlesqueÂ,N,MOVIE_FAM_SINGLEPARENT,2010-02-26,Steve Antin,102150,Theater,1,119,"Eric Dane, Peter Gallagher",USA,English,15세,burlesque dancer iowa,NA,NA,NA,"Drama, Music, Musical"
655,You AgainÂ,N,DRAMA_FANTASY_HISTORICAL,2010-01-04,Andy Fickman,66124,Theater,1,105,"Jamie Lee Curtis, James Wolk",USA,English,12세,dancing dog flight,NA,NA,NA,"Comedy, Family, Romance"
656,BarbecueÂ,N,MOVIE_FANTASY_FOLKLORE,2014-07-12,Eric Lavaine,19509,영화관,1,98,"Lambert Wilson, Julie Engelbrecht",France,French,전체,A film titled BarbecueÂ.,NA,NA,NA,Comedy
657,HayrideÂ,N,KDRAMA_087,2012-07-02,Terron R. Parsons,77762,Theater,1,93,"Richard Tyson, Jeremy Sande",USA,English,전체,A film titled HayrideÂ.,NA,NA,NA,"Crime, Drama, Horror"
658,The Last Witch HunterÂ,N,MOVIE_SF_TIME,2015-06-06,Breck Eisner,80104,Theater,1,106,"Vin Diesel, Joseph Gilgun",USA,English,15세,box office flop burned to death magic,NA,NA,NA,"Action, Adventure, Fantasy"
659,The Cold Light of DayÂ,N,KVARIETY_058,2012-07-19,Mabrouk El Mechri,75253,Theater,1,93,"Henry Cavill, Bruce Willis",USA,English,15세,driving a car down stairs duct tape gag held captive,NA,NA,NA,"Action, Thriller"
660,Green LanternÂ,N,KDRAMA_054,2011-07-22,Martin Campbell,318743,Theater,1,123,"Ryan Reynolds, Temuera Morrison",USA,English,15세,autopsy lantern planet,NA,NA,NA,"Action, Adventure, Sci-Fi"
661,The Devil InsideÂ,N,MOVIE_COM_TEEN,2012-01-09,William Brent Bell,46015,Theater,1,83,"Fernanda Andrade, Claudiu Trandafir",USA,English,19금,critically bashed demonic possession exorcism,NA,NA,NA,Horror
662,QuartetÂ,N,DRAMA_FANTASY_HISTORICAL,2012-05-25,Dustin Hoffman,75472,영화관,1,98,"Luke Newberry, Sheridan Smith",UK,English,15세,divorced couple opera reference to giuseppe verdi,NA,NA,NA,"Comedy, Drama"
663,About TimeÂ,N,DRAMA_MYST_DUALTIMELINE,2013-03-27,Richard Curtis,216182,영화관,1,123,"Tom Hughes, Tom Hollander",UK,English,19금,boyfriend girlfriend relationship lingerie slip time travel,NA,NA,NA,"Drama, Fantasy, Romance"
664,Tinker Tailor Soldier SpyÂ,N,KVARIETY_060,2011-10-13,Tomas Alfredson,223062,영화관,1,127,"Benedict Cumberbatch, Colin Firth",France,English,19금,cold war hungary mole,NA,NA,NA,"Drama, Mystery, Thriller"
665,AloftÂ,N,DRAMA_FAM_GEN,2014-09-19,Claudia Llosa,52636,영화관,1,97,"Ian Tracey, Zen McGrath",Spain,English,19금,A film titled AloftÂ.,NA,NA,NA,Drama
666,The Way Way BackÂ,N,KVARIETY_090,2013-01-13,Nat Faxon,128140,Theater,1,103,"Steve Carell, Liam James",USA,English,15세,awkward boy shy kid summer,NA,NA,NA,"Comedy, Drama"
667,Victor FrankensteinÂ,N,MOVIE_ROM_GL,2015-03-07,Paul McGuigan,47006,Theater,1,110,"Daniel Radcliffe, Spencer Wilding",USA,English,15세,assistant experiment frankenstein,NA,NA,NA,"Drama, Horror, Sci-Fi"
668,Fifty Shades of BlackÂ,N,DRAMA_SOC_GEN,2016-08-28,Michael Tiddes,99860,Theater,1,92,"Fred Willard, Mike Epps",USA,English,19금,color in title parody reference to cuba gooding jr,NA,NA,NA,Comedy
669,LincolnÂ,N,MOVIE_FANTASY_GEN,2012-02-04,Steven Spielberg,269485,Theater,1,150,"Joseph Gordon-Levitt, Hal Holbrook",USA,English,15세,cultural conflict politics president,NA,NA,NA,"Biography, Drama, History"
670,TRON: LegacyÂ,N,MOVIE_ACTION_CAR,2010-03-10,Joseph Kosinski,273792,Theater,1,125,"Jeff Bridges, Olivia Wilde",USA,English,12세,arcade bridge disappearance,NA,NA,NA,"Action, Adventure, Sci-Fi"
671,The JudgeÂ,N,MOVIE_SPORTS_ICE,2014-01-28,David Dobkin,233835,Theater,1,141,"Robert Downey Jr., Robert Duvall",USA,English,19금,courtroom dysfunctional family indiana,NA,NA,NA,"Crime, Drama"
672,The Lucky OneÂ,N,KDRAMA_061,2012-03-09,Scott Hicks,129435,Theater,1,101,"Blythe Danner, Riley Thomas Stewart",USA,English,15세,arrogance child in peril disarming someone,NA,NA,NA,"Drama, Romance"
673,Inside OutÂ,N,DRAMA_WORK_LAWFIRM,2015-01-15,Pete Docter,529086,Theater,1,95,"Amy Poehler, Mindy Kaling",USA,English,12세,anger joy memory,NA,NA,NA,"Adventure, Animation, Comedy"
674,Ant-ManÂ,N,DRAMA_CRIME_CORRUPTION,2015-06-03,Peyton Reed,620575,Theater,1,117,"Judy Greer, Hayley Atwell",USA,English,15세,ant chinatown san francisco heist,NA,NA,NA,"Action, Adventure, Comedy"
675,ChappieÂ,N,KVARIETY_106,2015-03-27,Neill Blomkamp,198952,Theater,1,120,"Hugh Jackman, Sharlto Copley",USA,English,19금,artificial intelligence consciousness future,NA,NA,NA,"Action, Crime, Drama"
676,Captain America: The Winter SoldierÂ,N,DRAMA_ROM_GEN,2014-01-07,Anthony Russo,659022,Theater,1,136,"Scarlett Johansson, Chris Evans",USA,English,15세,conspiracy heroism megalomaniac,NA,NA,NA,"Action, Adventure, Sci-Fi"
677,Under the SkinÂ,N,KVARIETY_088,2013-08-08,Jonathan Glazer,115725,영화관,1,108,"Scarlett Johansson, Paul Brannigan",UK,English,19금,alien desire female nudity,NA,NA,NA,"Drama, Horror, Sci-Fi"
678,EvolutionÂ,N,KVARIETY_020,2015-10-02,Lucile Hadzihalilovic,62337,영화관,1,81,"Nissim Renard, Roxane Duran",France,French,전체,boy giving birth nurse,NA,NA,NA,"Drama, Horror, Mystery"
679,Harry Potter and the Deathly Hallows: Part IÂ,N,KVARIETY_075,2010-04-18,Matt Birch,50951,영화관,1,102,"Rupert Grint, Toby Jones",UK,English,전체,A film titled Harry Potter and the Deathly Hallows: Part IÂ.,NA,NA,NA,Fantasy
680,Brighton RockÂ,N,KVARIETY_034,2010-07-06,Rowan Joffe,31193,영화관,1,111,"Sam Riley, Sean Harris",UK,English,19금,brighton catholic gang,NA,NA,NA,"Crime, Drama, Thriller"
681,IncendiesÂ,N,MOVIE_SPORTS_MMA,2010-03-07,Denis Villeneuve,131886,영화관,1,139,"Lubna Azabal, MÃ©lissa DÃ©sormeaux-Poulin",Canada,French,19금,brother sister relationship family relationships middle east,NA,NA,NA,"Drama, Mystery, War"
682,Terminator GenisysÂ,N,KDRAMA_067,2015-09-25,Alan Taylor,227374,Theater,1,126,"J.K. Simmons, Emilia Clarke",USA,English,15세,alternate timeline cyborg future,NA,NA,NA,"Action, Adventure, Sci-Fi"
683,CountingÂ,N,MOVIE_DOC_SPORTS,2015-11-11,Jem Cohen,82915,Theater,1,111,NA,USA,English,전체,city city symphony diary,NA,NA,NA,Documentary
684,Love in the Time of MonstersÂ,N,KVARIETY_058,2014-05-14,Matt Jackson,70604,Theater,1,97,"Kane Hodder, Paul Elia",USA,English,전체,bigfoot love monster,NA,NA,NA,"Comedy, Horror"
685,Suicide SquadÂ,N,MOVIE_MUSIC_IDOL,2016-01-13,David Ayer,174880,Theater,1,123,"Will Smith, Robin Atkin Downes",USA,English,15세,based on comic book critically bashed father daughter relationship,NA,NA,NA,"Action, Adventure, Comedy"
686,The GatekeepersÂ,N,DRAMA_WORK_MEDIA,2012-08-04,Dror Moreh,81511,영화관,1,101,"Ami Ayalon, Yuval Diskin",Israel,Hebrew,15세,interview jerusalem jewish,NA,NA,NA,"Documentary, War"
687,Hoodwinked Too! Hood vs. EvilÂ,N,MOVIE_DOC_ENVIRONMENT,2011-11-20,Mike Disa,59371,Theater,1,86,"Amy Poehler, Phil LaMarr",USA,English,12세,3 dimensional box office flop critically bashed,NA,NA,NA,"Animation, Comedy, Family"
688,Inside Llewyn DavisÂ,N,MOVIE_THR_POLICE,2013-03-17,Ethan Coen,127365,Theater,1,104,"Justin Timberlake, Max Casella",USA,English,19금,1960s car hitting an animal folk singer,NA,NA,NA,"Drama, Music"
689,All Superheroes Must DieÂ,N,KVARIETY_097,2011-09-09,Jason Trost,63879,Theater,1,78,"Sean Whalen, Jason Trost",USA,English,전체,arch villain game of death kidnapping,NA,NA,NA,"Sci-Fi, Thriller"
690,If I StayÂ,N,MOVIE_SF_TIME,2014-11-09,R.J. Cutler,137197,Theater,1,107,"ChloÃ« Grace Moretz, Mireille Enos",USA,English,15세,car accident coma out of body experience,NA,NA,NA,"Drama, Fantasy, Music"
691,FreedomÂ,N,MOVIE_DOC_WAR,2014-12-17,Peter Cousens,76326,Theater,1,94,"Sharon Leal, David Rasche",USA,English,19금,19th century christian film hymn,NA,NA,NA,"Drama, Family, Music"
692,A Warrior's TailÂ,N,KVARIETY_020,2015-01-08,Maksim Fadeev,94523,영화관,1,85,"Konstantin Khabenskiy, Fedor Bondarchuk",Russia,Russian,전체,battle creature hyena,NA,NA,NA,"Adventure, Animation, Fantasy"
693,SubmarineÂ,N,KDRAMA_073,2010-05-17,Richard Ayoade,98300,영화관,1,97,"Craig Roberts, Paddy Considine",UK,English,19금,15 year old school teen comedy,NA,NA,NA,"Comedy, Drama, Romance"
694,The CounselorÂ,N,KDRAMA_068,2013-10-03,Ridley Scott,85226,Theater,1,138,"Michael Fassbender, Brad Pitt",USA,English,19금,cunnilingus drug trafficking lawyer,NA,NA,NA,"Crime, Drama, Thriller"
695,SabotageÂ,N,KVARIETY_077,2014-05-18,David Ayer,98221,Theater,1,109,"Mireille Enos, Martin Donovan",USA,English,19금,dea drug cartel kicked in the crotch,NA,NA,NA,"Action, Crime, Drama"
696,21 & OverÂ,N,MOVIE_SF_DYSTOPIA,2013-08-17,Jon Lucas,105953,Theater,1,93,"Justin Chon, Josie Loren",USA,English,19금,21st birthday college student drunken man,NA,NA,NA,Comedy
697,Jack ReacherÂ,N,KVARIETY_134,2012-01-01,Christopher McQuarrie,317357,Theater,1,130,"Tom Cruise, Robert Duvall",USA,English,15세,coma mysterious villain police chase,NA,NA,NA,"Action, Crime, Mystery"
698,Apollo 18Â,N,KVARIETY_197,2011-06-06,Gonzalo LÃ³pez-Gallego,80523,Theater,1,86,"Warren Christie, Ryan Robbins",USA,English,15세,cosmonaut footprint found footage,NA,NA,NA,"Horror, Mystery, Sci-Fi"
699,My Name Is KhanÂ,N,KDRAMA_064,2010-09-22,Karan Johar,99714,영화관,1,128,"Shah Rukh Khan, Jimmy Shergill",India,Hindi,15세,airport asperger's syndrome autism,NA,NA,NA,"Adventure, Drama, Thriller"
700,Independence Day: ResurgenceÂ,N,MOVIE_ANIME_MYSTERY,2016-07-15,Roland Emmerich,61362,Theater,1,120,"Vivica A. Fox, Sela Ward",USA,English,15세,alien battle defense,NA,NA,NA,"Action, Adventure, Sci-Fi"
701,Teeth and BloodÂ,N,MOVIE_ROM_HISTORICAL,2015-11-07,Al Franklin,71344,Theater,1,96,"Marshal Hilton, Steffinnie Phrommany",USA,English,전체,blood teeth,NA,NA,NA,Horror
702,Mission: Impossible - Ghost ProtocolÂ,N,DRAMA_WORK_FOOD,2011-04-26,Brad Bird,642080,Theater,1,133,"Tom Cruise, Jeremy Renner",USA,English,15세,dubai kremlin race against time,NA,NA,NA,"Action, Adventure, Thriller"
703,NerveÂ,N,MOVIE_FANTASY_GEN,2016-12-17,Henry Joost,31374,Theater,1,96,"Samira Wiley, Marc John Jefferies",USA,English,15세,dare game knocked out,NA,NA,NA,"Adventure, Crime, Mystery"
704,Take Me Home TonightÂ,N,DRAMA_WORK_POLITICS,2011-10-04,Michael Dowse,60892,Theater,1,97,"Topher Grace, Michael Biehn",USA,English,19금,friend night party,NA,NA,NA,"Comedy, Drama, Romance"
705,DivergentÂ,N,DRAMA_MEDICAL_PSY,2014-01-05,Neil Burger,429729,Theater,1,139,"Kate Winslet, Theo James",USA,English,15세,army brother sister relationship dystopia,NA,NA,NA,"Adventure, Mystery, Sci-Fi"
706,JoyÂ,N,KVARIETY_176,2015-06-21,David O. Russell,101479,Theater,1,124,"Jennifer Lawrence, Robert De Niro",USA,English,15세,based on real person female inventor mop,NA,NA,NA,"Biography, Comedy, Drama"
707,The Frozen GroundÂ,N,DRAMA_SF_ALIEN,2013-08-10,Scott Walker,71079,Theater,1,105,"Nicolas Cage, Radha Mitchell",USA,English,19금,anchorage alaska based on true story pole dancer,NA,NA,NA,"Crime, Drama, Mystery"
708,DreddÂ,N,KDRAMA_061,2012-12-17,Pete Travis,399186,영화관,1,95,"Wood Harris, Jason Cope",UK,English,19금,brutality dark humor female antagonist,NA,NA,NA,"Action, Sci-Fi"
709,The Next Three DaysÂ,N,DRAMA_FANTASY_GRIMREAPER,2010-01-28,Paul Haggis,227648,Theater,1,133,"Olivia Wilde, Daniel Stern",USA,English,15세,argument evidence fingerprints,NA,NA,NA,"Crime, Drama, Romance"
710,RoboCopÂ,N,DRAMA_MEDICAL_GEN,2014-01-10,JosÃ© Padilha,283153,Theater,1,117,"Gary Oldman, Abbie Cornish",USA,English,15세,law enforcement police robocop,NA,NA,NA,"Action, Crime, Sci-Fi"
711,The Second MotherÂ,N,DRAMA_WORK_IT,2015-06-20,Anna Muylaert,93125,영화관,1,112,"Alex Huszar, Regina CasÃ©",Brazil,Portuguese,19금,brazil exam housekeeper,NA,NA,NA,"Comedy, Drama"
712,Ben-HurÂ,N,KDRAMA_066,2016-01-04,Timur Bekmambetov,48572,Theater,1,141,"Morgan Freeman, Ayelet Zurer",USA,English,15세,A film titled Ben-HurÂ.,NA,NA,NA,"Adventure, Drama, History"
713,Dum Maaro DumÂ,N,KVARIETY_010,2011-07-11,Rohan Sippy,59746,영화관,1,128,"Abhishek Bachchan, Bipasha Basu",India,Hindi,19금,airport drugs loss of loved one,NA,NA,NA,"Action, Crime, Drama"
714,Puss in BootsÂ,N,KVARIETY_191,2011-05-23,Chris Miller,127381,Theater,1,90,"Salma Hayek, Constance Marie",USA,English,12세,betrayal egg friend,NA,NA,NA,"Action, Adventure, Animation"
715,The Legend of TarzanÂ,N,DRAMA_MEDICAL_PSY,2016-12-11,David Yates,78553,Theater,1,110,"Christoph Waltz, Alexander SkarsgÃ¥rd",USA,English,15세,africa capture jungle,NA,NA,NA,"Action, Adventure, Drama"
716,The Curse of Downers GroveÂ,N,DRAMA_CRIME_HEIST,2015-03-04,Derick Martini,63862,Theater,1,89,"Kevin Zegers, Bella Heathcote",USA,English,전체,A film titled The Curse of Downers GroveÂ.,NA,NA,NA,"Drama, Horror, Mystery"
717,Alvin and the Chipmunks: ChipwreckedÂ,N,KDRAMA_002,2011-12-10,Mike Mitchell,89947,Theater,1,87,"Amy Poehler, Jesse McCartney",USA,English,전체,chipmunk cruise ship football ball,NA,NA,NA,"Adventure, Animation, Comedy"
718,RoomÂ,N,KVARIETY_196,2015-01-07,Lenny Abrahamson,248897,영화관,1,118,"Joan Allen, Jacob Tremblay",Ireland,English,19금,based on novel escape imprisonment,NA,NA,NA,Drama
719,Dawn of the Planet of the ApesÂ,N,KDRAMA_004,2014-02-13,Matt Reeves,430178,Theater,1,130,"Gary Oldman, Judy Greer",USA,English,15세,ape dam leader,NA,NA,NA,"Action, Adventure, Drama"
720,"Alexander and the Terrible, Horrible, No Good, Very Bad DayÂ",N,KVARIETY_007,2014-12-10,Miguel Arteta,81192,Theater,1,81,"Bella Thorne, Steve Carell",USA,English,12세,bad day based on book birthday,NA,NA,NA,"Comedy, Family"
721,Living Dark: The Story of Ted the CaverÂ,N,MOVIE_FANTASY_DRAGON,2013-05-08,David Hunt,44260,Theater,1,112,"Matthew Alan, Chris Cleveland",USA,English,15세,brother cave caver,NA,NA,NA,Horror
722,Seeking a Friend for the End of the WorldÂ,N,MOVIE_SPORTS_GOLF,2012-06-04,Lorene Scafaria,160667,Theater,1,101,"Steve Carell, Mark Moses",USA,English,19금,candle end of the world letter,NA,NA,NA,"Adventure, Comedy, Drama"
723,10 Days in a MadhouseÂ,N,MOVIE_COM_GEN,2015-12-19,Timothy Hines,19984,Theater,1,111,"Christopher Lambert, Kelly LeBrock",USA,English,19금,A film titled 10 Days in a MadhouseÂ.,NA,NA,NA,Drama
724,ZuluÂ,N,KVARIETY_064,2013-09-11,JÃ©rÃ´me Salle,76901,영화관,1,110,"Orlando Bloom, Tanya van Graan",France,English,19금,apartheid corpse male nudity,NA,NA,NA,"Crime, Drama, Thriller"
725,Alvin and the Chipmunks: The Road ChipÂ,N,KDRAMA_076,2015-11-09,Walt Becker,57075,Theater,1,92,"Bella Thorne, Joshua Mikel",USA,English,12세,chipmunk highway travel on the road,NA,NA,NA,"Adventure, Animation, Comedy"
726,The Huntsman: Winter's WarÂ,N,KDRAMA_094,2016-02-18,Cedric Nicolas-Troyan,93505,Theater,1,120,"Chris Hemsworth, Sam Claflin",USA,English,15세,based on fairy tale dark fantasy fairy tale,NA,NA,NA,"Action, Adventure, Drama"
727,Outside BetÂ,N,KDRAMA_062,2012-03-17,Sacha Bennett,14417,영화관,1,101,"Bob Hoskins, Jenny Agutter",UK,English,전체,A film titled Outside BetÂ.,NA,NA,NA,Comedy
728,Mission: Impossible - Rogue NationÂ,N,KDRAMA_052,2015-10-08,Christopher McQuarrie,314900,영화관,1,131,"Tom Cruise, Jeremy Renner",China,English,15세,capture computer hacker mission,NA,NA,NA,"Action, Adventure, Thriller"
729,Inside JobÂ,N,KDRAMA_098,2010-04-14,Charles Ferguson,65820,Theater,1,105,"Matt Damon, George W. Bush",USA,English,15세,florida iceland interview,NA,NA,NA,"Crime, Documentary"
730,Penguins of MadagascarÂ,N,KDRAMA_036,2014-12-01,Eric Darnell,73947,Theater,1,92,"Benedict Cumberbatch, Annet Mahendru",USA,English,12세,little girl park spy,NA,NA,NA,"Adventure, Animation, Comedy"
731,Last VegasÂ,N,MOVIE_MUSIC_HIPHOP,2013-10-10,Jon Turteltaub,169985,Theater,1,105,"Robert De Niro, Morgan Freeman",USA,English,15세,bachelor party bloody mary the drink bouncer,NA,NA,NA,"Comedy, Romance"
732,Paranormal Activity 3Â,N,DRAMA_THR_PSYCHO,2011-05-02,Henry Joost,111242,Theater,1,94,"Johanna Braddy, Sprague Grayden",USA,English,19금,animate object imaginary friend reference to macgyver,NA,NA,NA,Horror
733,BridesmaidsÂ,N,KVARIETY_178,2011-09-19,Paul Feig,254723,Theater,1,131,"Matt Lucas, Wendi McLendon-Covey",USA,English,19금,best friend failure food,NA,NA,NA,"Comedy, Romance"
734,Point BreakÂ,N,MOVIE_COM_WORK,2015-05-16,Ericson Core,59797,Theater,1,114,"Ray Winstone, Edgar RamÃ­rez",USA,English,15세,athlete extreme sports fbi,NA,NA,NA,"Action, Crime, Sport"
735,The Twilight Saga: EclipseÂ,N,MOVIE_COM_DARK,2010-03-25,David Slade,334350,Theater,1,124,"Robert Pattinson, Kristen Stewart",USA,English,15세,friendship graduation revenge,NA,NA,NA,"Adventure, Drama, Fantasy"
736,PaddingtonÂ,N,DRAMA_SCHOOL_GEN,2014-07-14,Paul King,55043,영화관,1,95,"Julie Walters, Matt Lucas",UK,English,12세,bear ear wax cleaning fake newsreel,NA,NA,NA,"Animation, Comedy, Family"
737,Neighbors 2: Sorority RisingÂ,N,KVARIETY_029,2016-06-10,Nicholas Stoller,69165,Theater,1,92,"ChloÃ« Grace Moretz, Ike Barinholtz",USA,English,19금,bare chested male gay gay best friend,NA,NA,NA,Comedy
738,The RoommateÂ,N,DRAMA_MYST_HISTORICAL,2011-08-05,Christian E. Christiansen,82518,Theater,1,91,"Leighton Meester, Danneel Ackles",USA,English,15세,animal abuse(non graphic) cat killer college,NA,NA,NA,"Drama, Horror, Thriller"
739,American ReunionÂ,N,KVARIETY_184,2012-08-09,Jon Hurwitz,253641,Theater,1,113,"Alyson Hannigan, Dania Ramirez",USA,English,19금,bikini female female kiss high school reunion,NA,NA,NA,Comedy
740,G.I. Joe: RetaliationÂ,N,KVARIETY_161,2013-03-19,Jon M. Chu,164644,Theater,1,122,"Channing Tatum, Dwayne Johnson",USA,English,15세,general gi joe martial arts,NA,NA,NA,"Action, Adventure, Sci-Fi"
741,The DivideÂ,N,KVARIETY_147,2011-11-13,Xavier Gens,35643,영화관,1,122,"Michael Biehn, Lauren German",Germany,English,19금,doggystyle sex rough sex sodomy,NA,NA,NA,"Drama, Sci-Fi, Thriller"
742,Lottery TicketÂ,N,KDRAMA_079,2010-10-07,Erik White,80162,Theater,1,99,"Brandon T. Jackson, Loretta Devine",USA,English,15세,block party eurocopter ec120 colibri fortune cookie,NA,NA,NA,Comedy
743,Below ZeroÂ,N,KVARIETY_113,2011-09-06,Justin Thomas Ostensen,21512,영화관,1,99,"Michael Berryman, Kristin Booth",Canada,English,19금,A film titled Below ZeroÂ.,NA,NA,NA,Thriller
744,PolisseÂ,N,KVARIETY_075,2011-12-21,MaÃ¯wenn,94937,영화관,1,127,"Riccardo Scamarcio, MaÃ¯wenn",France,French,전체,abusive parent child molester child protection,NA,NA,NA,"Crime, Drama"
745,The RevenantÂ,N,MOVIE_DOC_EDUCATIONAL,2015-06-11,Alejandro G. IÃ±Ã¡rritu,411921,Theater,1,156,"Leonardo DiCaprio, Tom Hardy",USA,English,19금,bear attack cauterizing a wound native american,NA,NA,NA,"Adventure, Drama, Thriller"
746,Hot Tub Time MachineÂ,N,MOVIE_MUSIC_OPERA,2010-06-15,Steve Pink,165224,Theater,1,101,"Charlie McDermott, Collette Wolfe",USA,English,19금,cheating wife drug reference maintenance man,NA,NA,NA,"Comedy, Sci-Fi"
747,FrozenÂ,N,MOVIE_FANTASY_DRAGON,2013-03-19,Chris Buck,701426,Theater,1,102,"Josh Gad, Maurice LaMarche",USA,English,12세,magic sister love sister sister relationship,NA,NA,NA,"Adventure, Animation, Comedy"
748,Happy ChristmasÂ,N,KVARIETY_191,2014-07-21,Joe Swanberg,77783,Theater,1,82,"Anna Kendrick, Lena Dunham",USA,English,19금,chicago illinois drink drinking,NA,NA,NA,"Comedy, Drama"
749,GunlessÂ,N,KDRAMA_030,2010-05-11,William Phillips,72213,영화관,1,89,"Tyler Mane, Callum Rennie",Canada,English,전체,blacksmith bounty hunter duel,NA,NA,NA,"Action, Comedy, Drama"
750,Not CoolÂ,N,KVARIETY_179,2014-11-25,Shane Dawson,40912,Theater,1,93,"Shane Dawson, Kurt Angle",USA,English,전체,A film titled Not CoolÂ.,NA,NA,NA,Comedy
751,Captain PhillipsÂ,N,KDRAMA_065,2013-08-19,Paul Greengrass,366513,Theater,1,134,"Tom Hanks, Chris Mulkey",USA,English,15세,hijacking hostage leader,NA,NA,NA,"Biography, Drama, Thriller"
752,InsidiousÂ,N,KDRAMA_046,2010-03-19,James Wan,310730,Theater,1,103,"Lin Shaye, Barbara Hershey",USA,English,15세,baby boy coma,NA,NA,NA,"Fantasy, Horror, Mystery"
753,Grave EncountersÂ,N,KDRAMA_036,2011-03-09,Colin Minihan,87525,영화관,1,92,"Mackenzie Gray, Sean Rogerson",Canada,English,전체,ghost ghost hunting labyrinth,NA,NA,NA,Horror
754,Saw 3D: The Final ChapterÂ,N,DRAMA_FAM_MARRIAGE,2010-03-03,Kevin Greutert,77355,영화관,1,90,"Costas Mandylor, Gina Holden",Canada,English,19금,blood splatter self help guru sequel,NA,NA,NA,"Horror, Mystery"
755,Ride Along 2Â,N,KDRAMA_098,2016-02-03,Tim Story,91742,Theater,1,102,"Olivia Munn, Nadine Velazquez",USA,English,15세,computer hacker crime boss detective,NA,NA,NA,"Action, Comedy"
756,Battle Los AngelesÂ,N,KDRAMA_080,2011-07-12,Jonathan Liebesman,190058,Theater,1,116,"Noel Fisher, Jim Parrack",USA,English,15세,alien extraterrestrial invasion,NA,NA,NA,"Action, Sci-Fi"
757,The Last ExorcismÂ,N,DRAMA_FANTASY_HISTORICAL,2010-01-03,Daniel Stamm,92669,영화관,1,87,"Caleb Landry Jones, Ashley Bell",France,English,15세,cult film documentary crew exorcism,NA,NA,NA,"Drama, Horror, Thriller"
758,EverestÂ,N,KVARIETY_150,2015-11-19,Baltasar KormÃ¡kur,172890,영화관,1,121,"Michael Kelly, Martin Henderson",UK,English,15세,blizzard mount everest mountain,NA,NA,NA,"Adventure, Biography, Drama"
759,Mr. Popper's PenguinsÂ,N,KVARIETY_156,2011-07-02,Mark Waters,133678,Theater,1,94,"Madeline Carroll, Ophelia Lovibond",USA,English,12세,father penguin snowglobe,NA,NA,NA,"Comedy, Family, Fantasy"
760,MegamindÂ,N,MOVIE_COM_WORK,2010-07-09,Tom McGrath,233310,Theater,1,95,"J.K. Simmons, Brad Pitt",USA,English,12세,battle city planet,NA,NA,NA,"Action, Animation, Comedy"
761,Winter's BoneÂ,N,KDRAMA_005,2010-05-19,Debra Granik,146281,Theater,1,100,"Jennifer Lawrence, Shelley Waggener",USA,English,19금,bail crystal meth family relationships,NA,NA,NA,Drama
762,Triple 9Â,N,KDRAMA_009,2016-09-12,John Hillcoat,59556,Theater,1,115,"Kate Winslet, Norman Reedus",USA,English,19금,betrayal corrupt cop heist,NA,NA,NA,"Action, Crime, Drama"
763,Despicable MeÂ,N,MOVIE_ROM_HISTORICAL,2010-12-23,Pierre Coffin,456058,Theater,1,87,"Steve Carell, Miranda Cosgrove",USA,English,12세,girl minion moon,NA,NA,NA,"Animation, Comedy, Family"
764,Exodus: Gods and KingsÂ,N,KVARIETY_069,2014-11-13,Ridley Scott,132844,영화관,1,150,"Christian Bale, MarÃ­a Valverde",UK,English,15세,egypt exodus moses,NA,NA,NA,"Action, Adventure, Drama"
765,BarfiÂ,N,MOVIE_ANIME_HORROR,2013-10-05,Shekar,66314,영화관,1,110,"Bhama, Diganth",India,Kannada,전체,A film titled BarfiÂ.,NA,NA,NA,"Comedy, Romance"
766,WarcraftÂ,N,KVARIETY_023,2016-12-26,Duncan Jones,157146,Theater,1,123,"Dominic Cooper, Callum Rennie",USA,English,15세,based on video game fictional language fictional war,NA,NA,NA,"Action, Adventure, Fantasy"
767,Exodus: Gods and KingsÂ,N,KVARIETY_141,2014-11-09,Ridley Scott,227960,영화관,1,150,"Christian Bale, MarÃ­a Valverde",UK,English,15세,egypt exodus moses,NA,NA,NA,"Action, Adventure, Drama"
768,ArbitrageÂ,N,KDRAMA_098,2012-07-16,Nicholas Jarecki,64984,Theater,1,107,"Nate Parker, Curtiss Cook",USA,English,19금,accidental death dead woman dead woman with eyes open,NA,NA,NA,"Drama, Thriller"
