id,content_name,is_ott,∫–∑˘ƒ⁄µÂ,∞≥∫¿¿œ,∞®µ∂_π◊_PD,Ω√√ª¿⁄ºˆ,platform,episode_total,episode_length,cast,origin_country,lang,rating,synopsis,poster_url,ott_availability,awards,tags
531,Mr. Peabody & Sherman,N,KVARIETY_173,2014-01-21,Rob Minkoff,278351,Theater,1,92,"Ty Burrell, Zach Callison",USA,English,12ºº,dog father son relationship inventor,NA,NA,NA,"Adventure, Animation, Comedy"
532,Jumping the Broom,N,DRAMA_ROM_YOUNGADULT,2011-09-10,Salim Akil,403473,Theater,1,112,"Gary Dourdan, Loretta Devine",USA,English,15ºº,martha's vineyard mother older woman younger man relationship,NA,NA,NA,"Comedy, Drama"
533,Once Upon a Time in Queens,N,DRAMA_THR_LEGAL,2013-05-20,Dave Rodriguez,581406,Theater,1,98,"Chazz Palminteri, Michael Rapaport",USA,English,19±›,A film titled Once Upon a Time in Queens.,NA,NA,NA,"Comedy, Drama"
534,Contraband,N,KVARIETY_159,2012-05-12,Baltasar Korm?¢Ækur,192563,Theater,1,109,"J.K. Simmons, David O'Hara",USA,English,19±›,cocaine contraband drug lord,NA,NA,NA,"Action, Crime, Drama"
535,Animals,N,KDRAMA_025,2014-07-08,Collin Schiffli,416608,Theater,1,90,"Kim Shaw, John Heard",USA,English,¿¸√º,drug addict drug addiction drug use,NA,NA,NA,Drama
536,Home,N,KDRAMA_050,2015-01-12,Tim Johnson,297203,Theater,1,94,"Jim Parsons, Matt Jones",USA,English,12ºº,alien friendship alien invasion australia,NA,NA,NA,"Adventure, Animation, Comedy"
537,Indignation,N,KDRAMA_035,2016-10-21,James Schamus,551579,Theater,1,110,"Logan Lerman, Sarah Gadon",USA,Hebrew,19±›,based on novel,NA,NA,NA,Drama
538,Skin Trade,N,DRAMA_MEDICAL_EMERGENCY,2014-11-19,Ekachai Uekrongtham,230883,øµ»≠∞¸,1,96,"Michael Jai White, Mike Dopud",Thailand,English,19±›,bangkok thailand detective human trafficking,NA,NA,NA,"Action, Crime, Thriller"
539,The Mortal Instruments: City of Bones,N,KDRAMA_071,2013-06-07,Harald Zwart,185220,Theater,1,130,"Aidan Turner, Kevin Zegers",USA,English,15ºº,battle demon magic,NA,NA,NA,"Fantasy, Horror, Mystery"
540,Anderson's Cross,N,KVARIETY_096,2010-08-22,Jerome Elston Scott,324733,Theater,1,98,"Taran Killam, Joanna Cassidy",USA,English,19±›,divorce marriage mother daughter relationship,NA,NA,NA,"Comedy, Drama, Romance"
541,The Adventurer: The Curse of the Midas Box,N,KVARIETY_055,2013-05-27,Jonathan Newman,234990,øµ»≠∞¸,1,100,"Ioan Gruffudd, Keeley Hawes",UK,English,12ºº,based on novel drowning hanging from a flagpole,NA,NA,NA,"Adventure, Family, Fantasy"
542,Anna Karenina,N,KVARIETY_057,2012-07-09,Joe Wright,401179,øµ»≠∞¸,1,129,"Kelly Macdonald, Guro Nagelhus Schia",UK,English,19±›,dance infidelity marriage,NA,NA,NA,"Drama, Romance"
543,The Fifth Estate,N,KVARIETY_159,2013-03-03,Bill Condon,81400,Theater,1,128,"Benedict Cumberbatch, Peter Capaldi",USA,English,19±›,computer hacker internet news leak,NA,NA,NA,"Biography, Drama, Thriller"
544,Maniac,N,KDRAMA_027,2012-05-04,Franck Khalfoun,344872,øµ»≠∞¸,1,89,"America Olivo, Nora Arnezeder",France,English,¿¸√º,exhibition mannequin obsession,NA,NA,NA,"Horror, Thriller"
545,Stung,N,MOVIE_ROM_TRIANGLE,2015-08-06,Benni Diez,441541,øµ»≠∞¸,1,87,"Clifton Collins Jr., Cecilia Pillado",Germany,English,¿¸√º,catering monster one word title,NA,NA,NA,"Comedy, Horror"
546,The Best Offer,N,KVARIETY_025,2013-05-28,Giuseppe Tornatore,121981,øµ»≠∞¸,1,131,"Jim Sturgess, Sean Buchanan",Italy,English,19±›,antique art heiress,NA,NA,NA,"Crime, Drama, Mystery"
547,Broken City,N,KVARIETY_181,2013-12-04,Allen Hughes,540837,Theater,1,109,"Alona Tal, James Ransone",USA,English,19±›,election father son relationship fellatio,NA,NA,NA,"Crime, Drama, Thriller"
548,Animal Kingdom: Let's go Ape,N,KVARIETY_081,2015-05-21,Jamel Debbouze,29263,øµ»≠∞¸,1,101,"Jamel Debbouze, Youssef Hajdi",France,French,¿¸√º,ape computer animation evolution,NA,NA,NA,"Adventure, Animation, Comedy"
549,The Book of Life,N,MOVIE_ACTION_HISTORICAL,2014-12-27,Jorge R. Guti??rrez,160994,Theater,1,95,"Channing Tatum, Hector Elizondo",USA,English,12ºº,afterlife bullfight bullfighting,NA,NA,NA,"Adventure, Animation, Comedy"
550,Ben-Hur,N,MOVIE_ANIME_BOYS,2016-08-15,Timur Bekmambetov,428171,Theater,1,141,"Morgan Freeman, Ayelet Zurer",USA,English,15ºº,chariot race epic false accusation,NA,NA,NA,"Adventure, Drama, History"
551,The Act of Killing,N,DRAMA_WORK_FOOD,2012-12-03,Joshua Oppenheimer,465943,øµ»≠∞¸,1,96,"Anwar Congo, Herman Koto",UK,Indonesian,¿¸√º,death squad mass killing musical number,NA,NA,NA,"Biography, Crime, Documentary"
552,My Big Fat Greek Wedding 2,N,KVARIETY_197,2016-02-09,Kirk Jones,275226,Theater,1,94,"Nia Vardalos, Louis Mandylor",USA,English,15ºº,family restaurant greek remarriage,NA,NA,NA,"Comedy, Family, Romance"
553,Detention of the Dead,N,KVARIETY_135,2012-05-02,Alex Craig Mann,237064,Theater,1,87,"Justin Chon, Christa B. Allen",USA,English,¿¸√º,based on play blood independent film,NA,NA,NA,"Comedy, Horror"
554,Hansel & Gretel Get Baked,N,DRAMA_ACTION_BODYGUARD,2013-10-05,Duane Journey,588127,Theater,1,86,"Molly C. Quinn, Lara Flynn Boyle",USA,English,¿¸√º,hansel and gretel lesbian kiss marijuana,NA,NA,NA,"Comedy, Horror"
555,Moneyball,N,DRAMA_CRIME_ORGANIZED,2011-04-13,Bennett Miller,322651,Theater,1,133,"Philip Seymour Hoffman, Robin Wright",USA,English,15ºº,baseball meeting statistics,NA,NA,NA,"Biography, Drama, Sport"
556,The Adjustment Bureau,N,KDRAMA_100,2011-04-07,George Nolfi,300313,Theater,1,106,"Matt Damon, Michael Kelly",USA,English,15ºº,love at first sight obscene finger gesture rain,NA,NA,NA,"Romance, Sci-Fi, Thriller"
557,Frances Ha,N,KDRAMA_063,2012-01-23,Noah Baumbach,309609,Theater,1,86,"Greta Gerwig, Grace Gummer",USA,English,19±›,best friend black and white father daughter relationship,NA,NA,NA,"Comedy, Drama, Romance"
558,The Green Inferno,N,MOVIE_ROM_BL,2013-09-07,Eli Roth,279288,Theater,1,100,"Daryl Sabara, Richard Burgi",USA,English,19±›,activist amazon color in title,NA,NA,NA,"Adventure, Horror"
559,The Amazing Spider-Man,N,DRAMA_FANTASY_REINCARNATION,2012-05-18,Marc Webb,872496,Theater,1,153,"Emma Stone, Andrew Garfield",USA,English,15ºº,lizard outcast spider,NA,NA,NA,"Action, Adventure, Fantasy"
560,Sex and the City 2,N,KVARIETY_033,2010-10-26,Michael Patrick King,95067,Theater,1,146,"Chris Noth, Liza Minnelli",USA,English,19±›,abu dhabi box office hit muslim,NA,NA,NA,"Comedy, Drama, Romance"
561,The Dictator,N,DRAMA_ROM_SECONDCHANCE,2012-12-04,Larry Charles,397315,Theater,1,99,"Sayed Badreya, Aasif Mandvi",USA,English,19±›,dictator hotel oil,NA,NA,NA,"Comedy, Romance"
562,Earth to Echo,N,MOVIE_THR_CRIME,2014-09-24,Dave Green,490716,Theater,1,91,"Teo Halm, Ella Wahlestedt",USA,English,12ºº,alien bar construction worker,NA,NA,NA,"Adventure, Family, Sci-Fi"
563,Dirty Grandpa,N,KVARIETY_050,2016-11-07,Dan Mazer,128811,Theater,1,109,"Robert De Niro, Zoey Deutch",USA,English,19±›,female removes her clothes fondling voyeur,NA,NA,NA,Comedy
564,Shame,N,DRAMA_SCHOOL_TEACHER,2011-12-01,Steve McQueen,209742,øµ»≠∞¸,1,101,"Michael Fassbender, Nicole Beharie",UK,English,19±›,female frontal nudity female nudity male nudity,NA,NA,NA,Drama
565,Teenage Mutant Ninja Turtles,N,DRAMA_MYST_DUALTIMELINE,2014-09-19,Jonathan Liebesman,253270,Theater,1,101,"Noel Fisher, Danny Woodburn",USA,English,15ºº,18 wheeler mutant ninja,NA,NA,NA,"Action, Adventure, Comedy"
566,Pride and Prejudice and Zombies,N,DRAMA_MEDICAL_GEN,2016-01-09,Burr Steers,595865,Theater,1,108,"Matt Smith, Bella Heathcote",USA,English,15ºº,based on novel damsel in distress deception,NA,NA,NA,"Action, Horror, Romance"
567,Goddess of Love,N,KVARIETY_083,2015-06-27,Jon Knautz,325609,Theater,1,93,"Rachel Alig, Monda Scott",USA,English,¿¸√º,female nudity hallucination sex scene,NA,NA,NA,"Drama, Horror, Mystery"
568,Just Wright,N,KDRAMA_031,2010-07-25,Sanaa Hamri,242543,Theater,1,100,"Common, Laz Alonso",USA,English,12ºº,basketball basketball player nba,NA,NA,NA,"Comedy, Romance, Sport"
569,Theresa Is a Mother,N,KVARIETY_039,2012-11-25,C. Fraser Press,460466,Theater,1,105,"Elaine Bromka, Robert Turano",USA,English,¿¸√º,A film titled Theresa Is a Mother.,NA,NA,NA,"Comedy, Drama, Music"
570,Legion,N,MOVIE_DOC_CRIME,2010-03-21,Scott Stewart,124600,Theater,1,100,"Dennis Quaid, Kate Walsh",USA,English,19±›,angel diner faith,NA,NA,NA,"Action, Fantasy, Horror"
571,Gravity,N,KVARIETY_061,2013-05-27,Alfonso Cuar?©¯n,1068488,øµ»≠∞¸,1,91,"Phaldut Sharma, Basher Savage",UK,English,15ºº,box office hit long take sole survivor,NA,NA,NA,"Adventure, Drama, Sci-Fi"
572,Karachi se Lahore,N,KVARIETY_182,2015-03-08,Wajahat Rauf,76885,øµ»≠∞¸,1,83,"Rasheed Naz, Ayesha Omar",Pakistan,Urdu,¿¸√º,pakistan road trip,NA,NA,NA,"Comedy, Family"
573,Trance,N,MOVIE_FAM_GEN,2013-11-14,Danny Boyle,569280,øµ»≠∞¸,1,101,"Rosario Dawson, Spencer Wilding",UK,English,19±›,amnesia criminal heist,NA,NA,NA,"Crime, Drama, Mystery"
574,Now You See Me,N,DRAMA_SOC_ENVIRONMENT,2013-05-07,Louis Leterrier,630925,Theater,1,125,"Morgan Freeman, Common",USA,English,15ºº,bank fbi heist,NA,NA,NA,"Crime, Mystery, Thriller"
575,ABCD (Any Body Can Dance),N,DRAMA_ROM_TRIANGLE,2013-03-18,Remo,475486,øµ»≠∞¸,1,160,"Lauren Gottlieb, Remo",India,Hindi,¿¸√º,A film titled ABCD (Any Body Can Dance).,NA,NA,NA,"Drama, Musical"
576,The Impossible,N,DRAMA_ACTION_HEIST,2012-06-18,J.A. Bayona,510236,øµ»≠∞¸,1,114,"Naomi Watts, Geraldine Chaplin",Spain,English,15ºº,christmas resort thailand,NA,NA,NA,"Drama, Thriller"
577,Into the Woods,N,DRAMA_FAM_MULTIGENER,2014-07-25,Rob Marshall,514905,Theater,1,125,"Johnny Depp, Meryl Streep",USA,English,12ºº,based on stage musical cinderella little red riding hood,NA,NA,NA,"Adventure, Comedy, Drama"
578,Red Tails,N,KDRAMA_030,2012-11-07,Anthony Hemingway,330438,Theater,1,125,"David Oyelowo, Nate Parker",USA,English,15ºº,african american battle italy,NA,NA,NA,"Action, Adventure, Drama"
579,Desert Dancer,N,KVARIETY_041,2014-08-04,Richard Raymond,576110,øµ»≠∞¸,1,104,"Tom Cullen, Reece Ritchie",UK,English,15ºº,dance dancer dancing,NA,NA,NA,"Biography, Drama"
580,The Apparition,N,KVARIETY_082,2012-02-24,Todd Lincoln,566808,Theater,1,83,"Julianna Guill, Rick Gomez",USA,English,15ºº,e mail evil spirit experiment,NA,NA,NA,"Horror, Thriller"
581,Secret in Their Eyes,N,MOVIE_ANIME_COMEDY,2015-03-02,Billy Ray,510025,Theater,1,111,"Julia Roberts, Michael Kelly",USA,English,15ºº,digging a grave grave digging investigator,NA,NA,NA,"Crime, Drama, Mystery"
582,Good Kill,N,DRAMA_MYST_GEN,2014-04-28,Andrew Niccol,22511,Theater,1,102,"Bruce Greenwood, Zo?? Kravitz",USA,English,19±›,cigarette butt drone funeral procession,NA,NA,NA,"Drama, Thriller"
583,Yeh Jawaani Hai Deewani,N,KDRAMA_085,2013-02-14,Ayan Mukerji,308170,øµ»≠∞¸,1,160,"Ranbir Kapoor, Madhuri Dixit",India,Hindi,¿¸√º,jealousy jumping into sea love,NA,NA,NA,"Comedy, Drama, Musical"
584,Kevin Hart: Laugh at My Pain,N,DRAMA_FAM_MARRIAGE,2011-07-26,Leslie Small,427641,Theater,1,89,"Isaac C. Singleton Jr., Larry King",USA,English,19±›,stand up comedy,NA,NA,NA,"Comedy, Documentary"
585,A Madea Christmas,N,KVARIETY_142,2013-11-18,Tyler Perry,40718,Theater,1,100,"Alicia Witt, Tika Sumpter",USA,English,15ºº,christmas holiday madea series,NA,NA,NA,"Comedy, Drama"
586,Letters to Juliet,N,DRAMA_THR_POLITICS,2010-01-07,Gary Winick,320525,Theater,1,105,"Vanessa Redgrave, Marcia DeBonis",USA,English,12ºº,chick flick female protagonist italian stereotype,NA,NA,NA,"Comedy, Drama, Romance"
587,Bad Grandpa,N,MOVIE_SPORTS_GOLF,2013-10-12,Jeff Tremaine,79125,Theater,1,102,"Jackson Nicoll, Georgina Cates",USA,English,19±›,child beauty pageant grandson hidden camera,NA,NA,NA,Comedy
588,Tangled,N,MOVIE_SPORTS_VOLLEYBALL,2010-07-01,Nathan Greno,362980,Theater,1,100,"Brad Garrett, Donna Murphy",USA,English,12ºº,17th century based on fairy tale disney,NA,NA,NA,"Adventure, Animation, Comedy"
589,Bad Moms,N,DRAMA_ACTION_MARTIALARTS,2016-05-23,Jon Lucas,131083,Theater,1,100,"Mila Kunis, Jay Hernandez",USA,English,19±›,lesbian kiss mom pta,NA,NA,NA,Comedy
590,Biutiful,N,MOVIE_ROM_HISTORICAL,2010-04-25,Alejandro G. I?°æ?¢Ærritu,131387,øµ»≠∞¸,1,148,"Maricel ?Ålvarez, Hanaa Bouchaib",Mexico,Spanish,19±›,children chinese illegal immigrant,NA,NA,NA,Drama
591,Super 8,N,KVARIETY_078,2011-05-21,J.J. Abrams,519986,Theater,1,112,"Joel Courtney, AJ Michalka",USA,English,15ºº,deputy group of friends time,NA,NA,NA,"Mystery, Sci-Fi, Thriller"
592,Batman v Superman: Dawn of Justice,N,KVARIETY_109,2016-01-15,Zack Snyder,534891,Theater,1,183,"Henry Cavill, Lauren Cohan",USA,English,15ºº,based on comic book batman sequel to a reboot,NA,NA,NA,"Action, Adventure, Sci-Fi"
593,The Perfect Host,N,MOVIE_ROM_MELODRAMA,2010-03-16,Nick Tomnay,558268,Theater,1,93,"David Hyde Pierce, Clayne Crawford",USA,English,19±›,arm tattoo bank robbery cauterizing a wound,NA,NA,NA,"Comedy, Crime, Thriller"
594,The Spy Next Door,N,DRAMA_ROM_MELODRAMA,2010-10-21,Brian Levant,353550,Theater,1,94,"Madeline Carroll, Amber Valletta",USA,English,12ºº,chinese cia single mother,NA,NA,NA,"Action, Comedy, Family"
595,Circumstance,N,KDRAMA_007,2011-07-02,Maryam Keshavarz,83528,øµ»≠∞¸,1,107,"Sarah Kazemy, Reza Sixo Safai",France,Persian,19±›,closeted lesbian iranian islamophobia,NA,NA,NA,Drama
596,Brave,N,KDRAMA_089,2012-10-06,Mark Andrews,526840,Theater,1,93,"Kelly Macdonald, John Ratzenberger",USA,English,12ºº,archery coming of age female warrior,NA,NA,NA,"Adventure, Animation, Comedy"
597,Safe Haven,N,MOVIE_SPORTS_VOLLEYBALL,2013-07-27,Lasse Hallstr?¢“m,545659,Theater,1,115,"David Lyons, Noah Lomax",USA,English,15ºº,abusive husband chick flick north carolina,NA,NA,NA,"Drama, Romance, Thriller"
598,Rock of Ages,N,DRAMA_ACTION_GEN,2012-10-10,Adam Shankman,413856,Theater,1,136,"James Martin Kelly, Shane Hartline",USA,English,15ºº,concert love music industry,NA,NA,NA,"Comedy, Drama, Musical"
599,The Croods,N,DRAMA_FANTASY_DRAGON,2013-07-06,Kirk De Micco,483882,Theater,1,98,"Ryan Reynolds, Emma Stone",USA,English,12ºº,cave caveman journey,NA,NA,NA,"Adventure, Animation, Comedy"
600,Love Ranch,N,DRAMA_ROM_GEN,2010-06-08,Taylor Hackford,578892,Theater,1,117,"Scout Taylor-Compton, Bai Ling",USA,English,19±›,argentine brothel cancer,NA,NA,NA,"Comedy, Drama, Romance"
601,Country Strong,N,KVARIETY_097,2010-11-16,Shana Feste,578402,øµ»≠∞¸,1,117,"Leighton Meester, Cinda McCain",Official site,English,15ºº,country music panties pink panties,NA,NA,NA,"Drama, Music"
602,Burnt,N,KVARIETY_049,2015-03-09,John Wells,179255,Theater,1,101,"Bradley Cooper, Omar Sy",USA,English,19±›,chef gay kiss michelin star,NA,NA,NA,"Comedy, Drama"
603,Alien Uprising,N,DRAMA_ACTION_ASSASSIN,2012-08-10,Dominic Burns,486400,øµ»≠∞¸,1,101,"Julian Glover, Sean Pertwee",UK,English,19±›,acronym in title period in title title ends with period,NA,NA,NA,"Comedy, Sci-Fi"
604,Destiny,N,MOVIE_MYST_GEN,2014-07-27,Joseph Kosinski,80926,Theater,1,97,"Peter Dinklage, Lauren Cohan",USA,English,¿¸√º,first person shooter,NA,NA,NA,"Action, Adventure, Fantasy"
605,August: Osage County,N,KDRAMA_036,2013-11-07,John Wells,207164,Theater,1,121,"Benedict Cumberbatch, Meryl Streep",USA,English,19±›,based on play incestuous relationship pedophilia,NA,NA,NA,Drama
606,Absentia,N,DRAMA_ROM_BL,2011-07-26,Mike Flanagan,516916,Theater,1,87,"Justin Gordon, Courtney Bell",USA,English,19±›,anticipate dead in absentia foetus,NA,NA,NA,"Drama, Horror, Mystery"
607,The Son of No One,N,KDRAMA_087,2011-07-20,Dito Montiel,28341,Theater,1,90,"Channing Tatum, Al Pacino",USA,English,19±›,housing project letter man with glasses,NA,NA,NA,"Crime, Drama, Thriller"
608,Monsters,N,DRAMA_ROM_YOUNGADULT,2010-08-01,Gareth Edwards,140590,øµ»≠∞¸,1,94,"Scoot McNairy, Whitney Able",UK,English,19±›,alien alien invasion destroyed building,NA,NA,NA,"Drama, Sci-Fi, Thriller"
609,Man on a Ledge,N,MOVIE_MUSIC_IDOL,2012-08-26,Asger Leth,308495,Theater,1,102,"Robert Clohessy, Mandy Gonzalez",USA,English,15ºº,detective diamond hotel,NA,NA,NA,"Action, Crime, Thriller"
610,Zero Dark Thirty,N,DRAMA_WORK_POLITICS,2012-04-03,Kathryn Bigelow,421193,Theater,1,157,"Jennifer Ehle, Harold Perrineau",USA,English,19±›,al qaeda cia interrogation,NA,NA,NA,"Drama, History, Thriller"
611,Identity Thief,N,KDRAMA_060,2013-02-07,Seth Gordon,515358,Theater,1,120,"Jon Favreau, Eric Stonestreet",USA,English,19±›,bounty hunter credit card cross country,NA,NA,NA,"Comedy, Crime"
612,Ted,N,MOVIE_MYST_DUALTIMELINE,2012-03-26,Seth MacFarlane,810543,Theater,1,112,"Mila Kunis, Seth MacFarlane",USA,English,19±›,2010s car accident sex scene,NA,NA,NA,"Comedy, Fantasy"
613,They Will Have to Kill Us First,N,KVARIETY_181,2015-07-27,Johanna Schwartz,71489,øµ»≠∞¸,1,105,"Aliou Tour??, Garba Tour??",UK,French,¿¸√º,A film titled They Will Have to Kill Us First.,NA,NA,NA,Documentary
614,Sarah's Key,N,MOVIE_ANIME_SLICEOFLIFE,2010-12-09,Gilles Paquet-Brenner,389899,øµ»≠∞¸,1,111,"Kristin Scott Thomas, Aidan Quinn",France,French,15ºº,apartment escape jewish family,NA,NA,NA,"Drama, War"
615,Sanctuary; Quite a Conundrum,N,DRAMA_THR_PSYCHO,2012-09-19,Thomas L. Phillips,570957,Theater,1,82,"Julianna Pitt, Joe Coffey",USA,English,¿¸√º,nudity party pirate,NA,NA,NA,"Comedy, Horror, Thriller"
616,The Master,N,KVARIETY_013,2012-06-17,Paul Thomas Anderson,259739,Theater,1,144,"Mike Howard, Jeffrey W. Jenkins",USA,English,19±›,drifter past life regression psychological testing,NA,NA,NA,Drama
617,Joyful Noise,N,DRAMA_FANTASY_REINCARNATION,2012-01-12,Todd Graff,183092,Theater,1,118,"Dolly Parton, Jeremy Jordan",USA,English,15ºº,bare chested male chips two word title,NA,NA,NA,"Comedy, Music"
618,The Possession,N,MOVIE_FANTASY_GRIMREAPER,2012-02-11,Ole Bornedal,555746,Theater,1,92,"Kyra Sedgwick, Madison Davenport",USA,English,15ºº,basketball coach box jewish,NA,NA,NA,"Horror, Thriller"
619,The Tourist,N,KDRAMA_039,2010-11-18,Florian Henckel von Donnersmarck,338907,Theater,1,103,"Johnny Depp, Angelina Jolie Pitt",USA,English,15ºº,police surveillance surveillance van tailing a suspect,NA,NA,NA,"Action, Romance, Thriller"
620,The Maid's Room,N,KVARIETY_174,2013-07-27,Michael Walker,190481,Theater,1,98,"Paula Garc??s, Annabella Sciorra",USA,English,¿¸√º,A film titled The Maid's Room.,NA,NA,NA,Thriller
621,The Virginity Hit,N,KVARIETY_054,2010-08-11,Huck Botko,523783,Theater,1,86,"Matt Bennett, Krysta Rodriguez",USA,English,19±›,masturbation porn star sex lesson from a prostitute,NA,NA,NA,Comedy
622,Sparkle,N,DRAMA_SF_TIME,2012-10-01,Salim Akil,555111,Theater,1,116,"Omari Hardwick, Curtis Armstrong",USA,English,15ºº,1960s death girl group,NA,NA,NA,"Drama, Music"
623,The Man from U.N.C.L.E.,N,KDRAMA_063,2015-12-11,Guy Ritchie,539955,Theater,1,116,"Henry Cavill, Elizabeth Debicki",USA,English,15ºº,box office flop cia agent criminal organization,NA,NA,NA,"Action, Adventure, Comedy"
624,Beginners,N,KVARIETY_147,2010-01-01,Mike Mills,456030,Theater,1,105,"Goran Visnjic, Lou Taylor Pucci",USA,English,19±›,actress cancer death,NA,NA,NA,"Comedy, Drama, Romance"
625,Justin Bieber: Never Say Never,N,DRAMA_ACTION_BODYGUARD,2011-06-09,Jon M. Chu,578534,Theater,1,115,"Usher Raymond, Sean Kingston",USA,English,¿¸√º,boyhood friend manager plasma tv,NA,NA,NA,"Documentary, Music"
626,Devil's Due,N,KDRAMA_049,2014-01-28,Matt Bettinelli-Olpin,171538,Theater,1,89,"Zach Gilford, Allison Miller",USA,English,19±›,eiffel tower at night honeymoon implied insemination,NA,NA,NA,"Horror, Mystery"
627,The Last Five Years,N,KVARIETY_059,2014-05-21,Richard LaGravenese,354381,Theater,1,94,"Anna Kendrick, Jeremy Jordan",USA,English,15ºº,based on play number in title,NA,NA,NA,"Comedy, Drama, Musical"
628,The Hobbit: An Unexpected Journey,N,KDRAMA_006,2012-12-02,Peter Jackson,709197,Theater,1,182,"Aidan Turner, Adam Brown",USA,English,15ºº,dragon dwarf hobbit,NA,NA,NA,"Adventure, Fantasy"
629,The Lincoln Lawyer,N,MOVIE_SPORTS_GOLF,2011-05-27,Brad Furman,330139,Theater,1,118,"Matthew McConaughey, Margarita Levieva",USA,English,19±›,defense attorney defense lawyer lawyer,NA,NA,NA,"Crime, Drama, Thriller"
630,The Sitter,N,DRAMA_SF_TIME,2011-04-11,David Gordon Green,597202,Theater,1,87,"Ari Graynor, J.B. Smoove",USA,English,19±›,babysitting car crash child in peril,NA,NA,NA,Comedy
631,Freeheld,N,KVARIETY_069,2015-07-12,Peter Sollett,202460,Theater,1,103,"Steve Carell, Josh Charles",USA,English,15ºº,cancer gay bar lesbian kiss,NA,NA,NA,"Biography, Drama, Romance"
632,Zookeeper,N,KDRAMA_035,2011-07-16,Frank Coraci,63050,Theater,1,102,"Rosario Dawson, Leslie Bibb",USA,English,12ºº,champagne bottle coca cola jewelry box,NA,NA,NA,"Comedy, Family, Romance"
633,Bachelorette,N,KVARIETY_123,2012-12-15,Leslye Headland,163892,Theater,1,87,"Kirsten Dunst, Adam Scott",USA,English,19±›,bachelorette party drug use high school,NA,NA,NA,"Comedy, Romance"
634,Promised Land,N,DRAMA_SOC_FEMINISM,2012-06-26,Gus Van Sant,182952,Theater,1,106,"Matt Damon, Hal Holbrook",USA,English,19±›,corporate greed corporation natural gas,NA,NA,NA,Drama
635,The Boss,N,MOVIE_ANIME_COMEDY,2016-07-07,Ben Falcone,417957,Theater,1,99,"Peter Dinklage, Tyler Labine",USA,English,19±›,business girl scouts orphanage,NA,NA,NA,Comedy
636,127 Hours,N,KVARIETY_066,2010-10-27,Danny Boyle,533372,Theater,1,94,"James Franco, Treat Williams",USA,English,19±›,alone aron ralston based on autobiography,NA,NA,NA,"Adventure, Biography, Drama"
637,The Debt,N,KVARIETY_080,2010-08-14,John Madden,410651,Theater,1,113,"Tom Wilkinson, Jesper Christensen",USA,English,19±›,east berlin kiev ukraine mossad,NA,NA,NA,"Drama, Thriller"
638,White House Down,N,MOVIE_ROM_NOONA,2013-06-10,Roland Emmerich,586631,Theater,1,131,"Channing Tatum, Jake Weber",USA,English,15ºº,black u.s. president president secret service,NA,NA,NA,"Action, Drama, Thriller"
639,Fruitvale Station,N,DRAMA_FANTASY_VAMPIRE,2013-05-15,Ryan Coogler,228553,Theater,1,85,"Ahna O'Reilly, Melonie Diaz",USA,English,19±›,22 year old b.a.r.t. bay area,NA,NA,NA,"Biography, Drama, Romance"
640,Dallas Buyers Club,N,KDRAMA_008,2013-04-10,Jean-Marc Vall??e,556458,Theater,1,117,"Matthew McConaughey, Jennifer Garner",USA,English,19±›,drugs fda gay community,NA,NA,NA,"Biography, Drama"
641,The Words,N,KDRAMA_062,2012-08-24,Brian Klugman,120152,Theater,1,102,"J.K. Simmons, Bradley Cooper",USA,English,15ºº,american in paris book love,NA,NA,NA,"Drama, Mystery, Romance"
642,The Iceman,N,KDRAMA_088,2012-02-04,Ariel Vromen,224243,Theater,1,106,"Chris Evans, James Franco",USA,English,19±›,based on true story contract killer crime family,NA,NA,NA,"Biography, Crime, Drama"
643,The Brass Teapot,N,KVARIETY_049,2012-04-10,Ramaa Mosley,522262,Theater,1,101,"Jack McBrayer, Michael Angarano",USA,English,19±›,mini dress mini skirt money,NA,NA,NA,"Comedy, Fantasy, Thriller"
644,Hit and Run,N,KVARIETY_187,2012-08-12,David Palmer,333036,Theater,1,100,"Bradley Cooper, Tom Arnold",USA,English,19±›,gay cop getaway driver masturbation,NA,NA,NA,"Action, Comedy, Romance"
645,Ouija,N,DRAMA_WORK_MARKETING,2014-11-08,Stiles White,585412,Theater,1,89,"Lin Shaye, Shelley Hennig",USA,English,15ºº,death of girlfriend funeral ghost,NA,NA,NA,"Fantasy, Horror"
646,"Run, Hide, Die",N,DRAMA_ROM_MELODRAMA,2012-12-27,Collin Joseph Neal,318307,Theater,1,75,"Julianne Gabert, Thomas Brophy",USA,English,¿¸√º,"A film titled Run, Hide, Die.",NA,NA,NA,"Horror, Thriller"
647,Bizarre,N,MOVIE_SPORTS_MOTOR,2015-08-06,?âtienne Faure,478997,øµ»≠∞¸,1,98,"Rumi Missabu, Pierre Prieur",France,English,¿¸√º,full frontal nudity group shower male full frontal nudity,NA,NA,NA,"Drama, Musical, Romance"
648,The Scorch Trials,N,MOVIE_DOC_SCIENCE,2015-07-18,Wes Ball,197712,Theater,1,132,"Ki Hong Lee, Lili Taylor",USA,English,15ºº,desert disease escape,NA,NA,NA,"Action, Sci-Fi, Thriller"
649,Midnight Special,N,KVARIETY_040,2016-08-28,Jeff Nichols,120921,øµ»≠∞¸,1,112,"Kirsten Dunst, Sam Shepard",Greece,English,15ºº,cult father son relationship gas station,NA,NA,NA,"Adventure, Drama, Sci-Fi"
